1:	620 677 630 677 639 678 640 675 633 674 623 674 
1:	712 304 758 319 774 331 761 332 735 324 719 314 
1:	786 912 761 915 748 925 750 929 769 925 783 920 
1:	857 927 902 918 943 909 974 902 977 890 969 880 924 887 882 892 856 905 
1:	1017 746 1021 757 1052 756 1073 756 1078 750 1076 742 
1:	1141 885 1094 901 1093 912 1099 914 1115 911 1140 900 1143 896 
1:	1231 801 1237 802 1241 800 1241 796 
1:	1062 967 1093 957 1123 949 1123 939 1112 934 1059 950 
1:	1186 902 1145 919 1148 931 1171 922 1188 917 
1:	1130 291 1115 306 1121 333 1165 354 1177 311 
1:	1224 330 1231 371 1320 407 1340 368 
1:	1385 993 1388 1003 1391 1001 1388 992 
1:	1370 611 1385 627 1413 627 1418 613 1386 609 
1:	1445 617 1455 630 1479 635 1483 623 
1:	1446 813 1455 814 1452 807 1445 809 
1:	1612 692 1616 697 1623 696 1621 690 1614 689 
1:	1678 820 1689 827 1695 819 1688 811 1679 812 
1:	1688 788 1696 793 1701 790 1698 782 1690 782 
1:	1591 241 1606 264 1613 262 1602 240 1596 236 
1:	1803 141 1807 172 1826 176 1822 140 1808 132 
1:	1206 89 1228 107 1236 96 1219 80 
1:	672 243 717 263 716 251 680 235 
