1:	38 154 107 186 140 199 148 190 92 166 58 153 
1:	564 89 617 114 621 112 569 86 
1:	820 66 831 85 857 100 895 121 941 135 925 85 862 49 834 52 
1:	784 337 823 356 847 366 847 357 821 343 786 328 781 330 
1:	641 678 664 678 664 674 642 673 
1:	565 1063 613 1050 724 1032 738 1045 730 1057 626 1076 570 1076 
1:	801 910 808 915 841 908 837 903 
1:	964 894 977 903 1062 893 1069 880 1064 870 1045 870 977 878 966 885 
1:	1077 755 1130 753 1132 741 1076 741 1076 749 
1:	1144 897 1152 898 1194 886 1195 874 1144 886 
1:	1124 945 1166 940 1178 930 1171 923 1123 933 
1:	1241 800 1250 800 1253 796 1244 796 
1:	1121 295 1186 327 1199 282 1133 253 
1:	1238 297 1232 330 1239 358 1470 466 1481 436 1335 361 1274 324 
1:	1345 624 1361 633 1364 628 1346 616 
1:	1415 625 1446 634 1448 622 1412 612 
1:	1484 636 1514 646 1524 634 1493 622 
1:	1384 990 1391 994 1394 989 1387 983 
1:	1575 842 1585 846 1593 844 1586 840 
1:	1589 892 1599 886 1597 880 1588 882 
1:	1620 696 1628 699 1632 695 1620 688 
1:	1693 789 1700 791 1706 788 1701 783 1695 783 
1:	1683 811 1689 813 1692 810 1685 806 
1:	1835 661 1841 663 1843 659 1839 656 
1:	1258 138 1295 182 1299 172 1266 136 
1:	1604 274 1615 304 1621 296 1613 277 
