1:	598 681 607 679 617 676 614 671 603 674 596 676 
1:	729 950 765 933 812 915 856 900 865 905 865 926 829 940 782 960 750 977 740 980 730 973 725 967 
1:	958 770 965 775 981 769 1004 764 1021 759 1019 748 1009 746 988 750 969 755 958 761 
1:	1051 945 1067 935 1090 921 1097 915 1097 908 1092 906 1072 915 1054 927 1048 934 1046 939 
1:	1006 997 1034 982 1061 968 1067 964 1063 955 1053 952 1031 964 1011 976 999 987 999 995 
1:	1112 934 1091 949 1095 962 1120 949 1142 933 1149 927 1144 916 
1:	1229 802 1232 804 1234 801 1234 797 1228 798 
1:	1387 1002 1399 1015 1402 1012 1390 999 
1:	1347 612 1351 621 1362 625 1379 621 1381 610 1364 609 
1:	1417 628 1430 635 1451 629 1456 619 1441 612 1420 617 
1:	1611 690 1616 694 1623 694 1624 689 1618 687 
1:	1692 787 1700 795 1712 795 1704 787 1700 784 
1:	1584 205 1589 235 1599 236 1599 215 1597 204 1590 199 
1:	1811 86 1795 131 1815 125 1822 116 1823 95 
1:	1147 21 1194 76 1203 71 1191 53 1157 18 
1:	1843 647 1846 650 1850 652 1854 650 1849 645 
1:	1361 519 1366 525 1374 524 1374 519 1367 517 
1:	734 924 695 940 698 947 721 942 740 931 738 924 
